Paper,Citation_Count,Degree_Centrality
"AGRAWAL R, 1993, FOUNDATIONS OF DATA ORGANIZATION AND ALGORITHMS 4TH INTERNATIONAL CONFERENCE FODO '93 PROCEEDINGS",2,1.0
"APPARICIO P, 2007, INT J HEALTH GEOGR",2,1.0
"AN R, 2012, AM J PREV MED",2,1.0
"ANDREYEVA T, 2008, HEALTH AFFAIR",2,1.0
"ANKERST M, 1999, SIGMOD RECORD",2,1.0
"ADAMS E, 2003, J NUTR",2,1.0
"ABEYKOON A, 2017, PUBLIC HEALTH NUTR",2,1.0
"ABUSABHA R, 2011, J AM DIET ASSOC",2,1.0
"[ANONYMOUS], 2013, P 8 INT C BOD AR NET",2,1.0
"AAZAM M, 2018, FUTURE GENER COMP SY",2,1.0
"ATASH F, 1994, J URBAN PLAN D-ASCE",2,1.0
"AGGARWAL A, 2014, AM J PUBLIC HEALTH",2,1.0
"ALWITT L, 1997, J CONSUM AFF",2,1.0
"AJZEN I, 1991, ORGAN BEHAV HUM DEC",2,1.0
"AIRHIHENBUWA C, 1996, ETHN HEALTH",2,1.0
"AHERN M, 2011, J RURAL HEALTH",2,1.0
"AHAS R, 2005, FUTURES",2,1.0
"ABEL K, 2020, SUSTAIN CITIES SOC",2,1.0
"ALGERT S, 2006, AM J PREV MED",2,1.0
"AGARAP A, 2018, PROCEEDINGS OF 2018 10TH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND COMPUTING (ICMLC 2018)",2,1.0
"AIJAZ A, 2013, IEEE WIREL COMMUN",2,1.0
"APPLEBY G, 2020, AAAI CONF ARTIF INTE",2,1.0
"[ANONYMOUS], 2012, CENSUS TRACT LEVEL STATE MAPS OF THE MODIFIED RETAIL FOOD ENVIRONMENT INDEX (MRFEI) [ANONYMOUS]",2,1.0
"AHVENNIEMI H, 2017, CITIES",2,1.0
"ABADI A, 2015, IEEE T INTELL TRANSP",2,1.0
"ALKON A, 2012, BLACK",2,1.0
"ALKON A, 2013, GEOFORUM",2,1.0
"AJI A, 2013, PROC VLDB ENDOW",2,1.0
"ADOMAVICIUS G, 2005, IEEE T KNOWL DATA EN",2,1.0
"ABUL O, 2008, PROC INT CONF DATA",2,1.0
"AKIMOTO H, 2003, SCIENCE",2,1.0
"ALLCOTT H, 2019, Q J ECON",2,1.0
"BITLER M, 2011, J POLICY ANAL MANAG",2,1.0
"AKAGI Y, 2018, PROCEEDINGS OF THE TWENTY-SEVENTH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE",2,1.0
"AL M, 2011, J PUBLIC TRANSPORT",2,1.0
"ALDUNATE R, 2006, J COMPUT CIVIL ENG",1,0.5552486187845304
"AGARWAL S, 2020, SCI TOTAL ENVIRON",1,0.5552486187845304
"CAO H, 2020, IEEE T MOBILE COMPUT",1,0.5552486187845304
"ALTINTAS O, 2015, IEEE CONF COMPUT",1,0.5552486187845304
"AMT F, 2008, ERR GRUNDV [ANONYMOUS]",1,0.5552486187845304
"ALVAREDO F, 2018, WORLD INEQUALITY REP [ANONYMOUS]",1,0.5552486187845304
"ABCEDE A, 1994, NATL PETROL NEWS",1,0.5552486187845304
"CHEN L, 2000, J SHAANXI INST TECHN",1,0.5552486187845304
